Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-10-01 16:04:20,2024-10-02 16:32:57,McDonald's,-68.50,0.00,RON,COMPLETED,1887.42
TRANSFER,Current,2024-10-02 17:14:11,2024-10-02 17:14:11,To MIRUNA-IOANA PAMPEA,-129.00,0.00,RON,COMPLETED,1758.42
TRANSFER,Current,2024-10-03 11:00:16,2024-10-03 11:00:16,To MIRUNA-IOANA PAMPEA,-11.00,0.00,RON,COMPLETED,1747.42
CARD_PAYMENT,Current,2024-10-04 14:51:42,2024-10-05 14:29:41,Pasteleria Srl,-12.50,0.00,RON,COMPLETED,1734.92
CARD_PAYMENT,Current,2024-10-06 02:39:18,2024-10-07 14:26:40,Presto pizza,-66.99,0.00,RON,COMPLETED,1667.93
TRANSFER,Current,2024-10-07 14:42:21,2024-10-07 14:42:22,From MIRUNA-IOANA PAMPEA,250.00,0.00,RON,COMPLETED,1917.93
CARD_PAYMENT,Current,2024-10-06 14:43:29,2024-10-07 15:17:41,Lidl,-287.31,0.00,RON,COMPLETED,1630.62
CARD_PAYMENT,Current,2024-10-07 14:28:31,2024-10-08 15:11:49,Sensiblu,-253.74,0.00,RON,COMPLETED,1376.88
TRANSFER,Current,2024-10-08 15:43:30,2024-10-08 15:43:49,To MIRUNA-IOANA PAMPEA,-258.00,0.00,RON,COMPLETED,1118.88
CARD_PAYMENT,Current,2024-10-07 14:33:36,2024-10-08 16:32:46,Orhideea,-69.30,0.00,RON,COMPLETED,1049.58
CARD_PAYMENT,Current,2024-10-08 21:26:32,2024-10-09 15:41:15,Mega Image,-50.00,0.00,RON,COMPLETED,999.58
TRANSFER,Current,2024-10-09 23:42:03,2024-10-09 23:42:03,To MIRUNA-IOANA PAMPEA,-250.00,0.00,RON,COMPLETED,749.58
CARD_PAYMENT,Current,2024-10-10 13:44:57,2024-10-11 16:27:54,Mega Image,-32.06,0.00,RON,COMPLETED,717.52
CARD_PAYMENT,Current,2024-10-10 13:31:43,2024-10-11 16:28:22,Octavian Sârbu Concept,-80.00,0.00,RON,COMPLETED,637.52
CARD_PAYMENT,Current,2024-10-10 19:49:10,2024-10-11 16:28:38,Mega Image,-90.57,0.00,RON,COMPLETED,546.95
CARD_PAYMENT,Current,2024-10-10 13:50:44,2024-10-12 16:22:12,STB Bucuresti,-3.00,0.00,RON,COMPLETED,543.95
CARD_PAYMENT,Current,2024-10-11 14:23:07,2024-10-12 18:09:25,McDonald's,-44.50,0.00,RON,COMPLETED,499.45
TOPUP,Current,2024-10-13 15:05:42,2024-10-13 15:05:44,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1499.45
CARD_PAYMENT,Current,2024-10-12 15:05:21,2024-10-13 15:14:56,MOL,-156.43,0.00,RON,COMPLETED,1343.02
CARD_PAYMENT,Current,2024-10-12 16:32:59,2024-10-13 16:12:54,Pasteleria Srl,-12.50,0.00,RON,COMPLETED,1330.52
CARD_PAYMENT,Current,2024-10-13 17:04:03,2024-10-14 15:50:41,Mega Image,-89.94,0.00,RON,COMPLETED,1240.58
CARD_PAYMENT,Current,2024-10-13 16:42:44,2024-10-14 18:22:15,Lidl,-40.43,0.00,RON,COMPLETED,1200.15
CARD_PAYMENT,Current,2024-10-13 16:39:52,2024-10-14 18:22:15,Lidl,-202.54,0.00,RON,COMPLETED,997.61
CARD_PAYMENT,Current,2024-10-14 20:27:52,2024-10-15 15:36:52,PENNY,-28.28,0.00,RON,COMPLETED,969.33
CARD_PAYMENT,Current,2024-10-14 08:20:11,2024-10-15 15:41:36,Lidl,-224.40,0.00,RON,COMPLETED,744.93
CARD_PAYMENT,Current,2024-10-12 16:31:52,2024-10-15 16:01:18,Farmacia Ana Maria,-19.00,0.00,RON,COMPLETED,725.93
FEE,Current,2024-10-16 05:03:50,2024-10-16 05:03:50,Premium Repricing 1 plan fee,-35.99,0.00,RON,COMPLETED,689.94
CARD_PAYMENT,Current,2024-10-15 15:49:20,2024-10-16 15:32:26,Mega Image,-61.38,0.00,RON,COMPLETED,628.56
CARD_PAYMENT,Current,2024-10-15 15:38:47,2024-10-16 17:08:08,Lidl,-127.20,0.00,RON,COMPLETED,501.36
TOPUP,Current,2024-10-17 11:10:17,2024-10-17 11:10:18,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2751.36
TRANSFER,Current,2024-10-17 11:10:44,2024-10-17 11:10:44,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,501.36
TOPUP,Current,2024-10-17 13:20:21,2024-10-17 13:20:25,Apple Pay Top-Up by *4109,800.00,0.00,RON,COMPLETED,1301.36
TOPUP,Current,2024-10-17 14:06:36,2024-10-17 14:06:37,Apple Pay Top-Up by *4109,600.00,0.00,RON,COMPLETED,1901.36
TRANSFER,Current,2024-10-17 20:31:52,2024-10-17 20:31:52,To MIRUNA-IOANA PAMPEA,-100.00,0.00,RON,COMPLETED,1801.36
CARD_PAYMENT,Current,2024-10-17 15:00:28,2024-10-18 16:24:02,MEXC,-689.09,0.00,RON,COMPLETED,1112.27
CARD_PAYMENT,Current,2024-10-17 13:33:59,2024-10-18 16:44:55,KuCoin,-689.10,0.00,RON,COMPLETED,423.17
CARD_PAYMENT,Current,2024-10-18 09:24:21,2024-10-19 14:47:31,Mega Image,-64.56,0.00,RON,COMPLETED,358.61
CARD_PAYMENT,Current,2024-10-18 16:39:13,2024-10-19 15:02:21,Starbucks,-28.70,0.00,RON,COMPLETED,329.91
CARD_PAYMENT,Current,2024-10-19 18:22:56,2024-10-20 15:14:27,Lidl,-146.46,0.00,RON,COMPLETED,183.45
CARD_PAYMENT,Current,2024-10-19 18:31:25,2024-10-20 15:55:05,Mega Image,-73.48,0.00,RON,COMPLETED,109.97
TOPUP,Current,2024-10-21 13:53:02,2024-10-21 13:53:03,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1109.97
CARD_PAYMENT,Current,2024-10-20 17:56:14,2024-10-21 15:25:32,Frtidealconsultsrl,-25.00,0.00,RON,COMPLETED,1084.97
CARD_PAYMENT,Current,2024-10-18 09:41:11,2024-10-22 15:41:34,Metrorex,-3.00,0.00,RON,COMPLETED,1081.97
CARD_PAYMENT,Current,2024-10-18 16:59:29,2024-10-22 15:42:10,Metrorex,-3.00,0.00,RON,COMPLETED,1078.97
CARD_PAYMENT,Current,2024-10-21 13:55:58,2024-10-22 16:15:07,McDonald's,-61.00,0.00,RON,COMPLETED,1017.97
CARD_PAYMENT,Current,2024-10-22 15:16:24,2024-10-23 15:15:54,Mega Image,-89.04,0.00,RON,COMPLETED,928.93
TRANSFER,Current,2024-10-23 21:45:30,2024-10-23 21:45:30,To MIRUNA-IOANA PAMPEA,-120.00,0.00,RON,COMPLETED,808.93
CARD_PAYMENT,Current,2024-10-23 19:21:02,2024-10-24 15:20:00,PENNY,-58.00,0.00,RON,COMPLETED,750.93
CARD_PAYMENT,Current,2024-10-22 09:11:54,2024-10-24 15:39:39,Nyr Georgiana Trade Sr,-25.00,0.00,RON,COMPLETED,725.93
CARD_PAYMENT,Current,2024-10-22 08:58:18,2024-10-24 15:47:17,Metrorex,-3.00,0.00,RON,COMPLETED,722.93
TRANSFER,Current,2024-10-24 18:55:43,2024-10-24 18:55:43,To MIRUNA-IOANA PAMPEA,-90.00,0.00,RON,COMPLETED,632.93
TOPUP,Current,2024-10-26 12:28:36,2024-10-26 12:28:37,Apple Pay Top-Up by *4109,836.00,0.00,RON,COMPLETED,1468.93
TRANSFER,Current,2024-10-26 12:29:03,2024-10-26 12:29:03,To LAURENTIU-IRINEL STAVARACHE,-836.00,0.00,RON,COMPLETED,632.93
CARD_PAYMENT,Current,2024-10-25 19:34:36,2024-10-27 15:46:12,Grivita Events,-45.00,0.00,RON,COMPLETED,587.93
CARD_PAYMENT,Current,2024-10-27 15:30:24,2024-10-28 14:55:59,Lidl,-39.74,0.00,RON,COMPLETED,548.19
CARD_PAYMENT,Current,2024-10-27 15:14:04,2024-10-28 15:49:32,Mega Image,-94.83,0.00,RON,COMPLETED,453.36
CARD_PAYMENT,Current,2024-10-25 18:02:54,2024-10-29 14:10:03,Metrorex,-3.00,0.00,RON,COMPLETED,450.36
CARD_PAYMENT,Current,2024-10-28 12:52:11,2024-10-29 14:48:03,Starbucks,-49.80,0.00,RON,COMPLETED,400.56
CARD_PAYMENT,Current,2024-10-29 18:03:47,2024-10-30 15:04:35,Mega Image,-70.23,0.00,RON,COMPLETED,330.33
CARD_PAYMENT,Current,2024-10-29 16:34:25,2024-10-30 15:04:52,Sb Spaces Expo,-6.60,0.00,RON,COMPLETED,323.73
CARD_PAYMENT,Current,2024-10-29 09:56:36,2024-10-30 15:04:57,Sb Spaces Expo,-18.00,0.00,RON,COMPLETED,305.73
CARD_PAYMENT,Current,2024-10-29 17:52:04,2024-10-30 16:23:33,Lidl,-42.52,0.00,RON,COMPLETED,263.21
TOPUP,Current,2024-10-31 10:20:28,2024-10-31 10:20:29,Apple Pay Top-Up by *4109,1500.00,0.00,RON,COMPLETED,1763.21
CARD_PAYMENT,Current,2024-10-30 20:50:12,2024-10-31 16:15:46,Mega Image,-23.77,0.00,RON,COMPLETED,1739.44
CARD_PAYMENT,Current,2024-10-31 18:00:05,2024-11-01 13:47:12,Lidl,-99.95,0.00,RON,COMPLETED,1639.49
CARD_PAYMENT,Current,2024-10-31 18:25:54,2024-11-01 14:33:23,Mega Image,-75.82,0.00,RON,COMPLETED,1563.67
CARD_PAYMENT,Current,2024-11-01 21:42:42,2024-11-02 14:51:48,Mega Image,-71.26,0.00,RON,COMPLETED,1492.41
CARD_PAYMENT,Current,2024-11-03 13:57:47,2024-11-04 14:47:31,Mega Image,-165.21,0.00,RON,COMPLETED,1327.20
CARD_PAYMENT,Current,2024-11-03 13:38:03,2024-11-04 15:03:09,Traditional Sib,-48.00,0.00,RON,COMPLETED,1279.20
CARD_PAYMENT,Current,2024-11-03 13:30:29,2024-11-04 15:03:52,Ateșpan,-8.00,0.00,RON,COMPLETED,1271.20
CARD_PAYMENT,Current,2024-11-01 21:48:17,2024-11-04 15:27:14,PENNY,-50.00,0.00,RON,COMPLETED,1221.20
CARD_PAYMENT,Current,2024-11-03 14:30:07,2024-11-04 16:17:49,Lidl,-263.76,0.00,RON,COMPLETED,957.44
CARD_PAYMENT,Current,2024-11-04 13:08:23,2024-11-05 16:57:49,Carrefour,-58.80,0.00,RON,COMPLETED,898.64
CARD_PAYMENT,Current,2024-11-04 13:10:16,2024-11-05 16:58:40,Orhideea,-61.30,0.00,RON,COMPLETED,837.34
CARD_PAYMENT,Current,2024-11-06 19:10:14,2024-11-07 15:18:10,PENNY,-77.23,0.00,RON,COMPLETED,760.11
TOPUP,Current,2024-11-07 23:16:08,2024-11-07 23:16:10,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1760.11
TRANSFER,Current,2024-11-08 12:04:29,2024-11-08 12:04:29,To MIRUNA-IOANA PAMPEA,-300.00,0.00,RON,COMPLETED,1460.11
CARD_PAYMENT,Current,2024-11-07 18:55:45,2024-11-08 15:50:45,Mega Image,-46.77,0.00,RON,COMPLETED,1413.34
CARD_PAYMENT,Current,2024-11-07 18:37:52,2024-11-08 17:41:46,Lidl,-181.37,0.00,RON,COMPLETED,1231.97
CARD_PAYMENT,Current,2024-11-08 14:57:17,2024-11-09 14:53:00,Frtidealconsultsrl,-5.00,0.00,RON,COMPLETED,1226.97
CARD_PAYMENT,Current,2024-11-08 15:58:04,2024-11-09 18:02:46,McDonald's,-83.00,0.00,RON,COMPLETED,1143.97
CARD_PAYMENT,Current,2024-11-09 13:14:28,2024-11-10 15:38:34,Ateșpan,-8.00,0.00,RON,COMPLETED,1135.97
CARD_PAYMENT,Current,2024-11-09 13:54:09,2024-11-10 15:47:18,Lidl,-115.45,0.00,RON,COMPLETED,1020.52
CARD_PAYMENT,Current,2024-11-09 13:32:23,2024-11-10 16:28:28,Catena,-23.20,0.00,RON,COMPLETED,997.32
CARD_PAYMENT,Current,2024-11-09 13:26:05,2024-11-10 16:52:18,Mega Image,-45.00,0.00,RON,COMPLETED,952.32
CARD_PAYMENT,Current,2024-11-09 13:19:50,2024-11-11 15:46:22,Cristim Crangasi,-9.80,0.00,RON,COMPLETED,942.52
CARD_PAYMENT,Current,2024-11-09 14:26:23,2024-11-11 15:46:36,Sdc,-158.72,0.00,RON,COMPLETED,783.80
CARD_PAYMENT,Current,2024-11-11 19:55:50,2024-11-12 15:19:41,Mega Image,-25.00,0.00,RON,COMPLETED,758.80
CARD_PAYMENT,Current,2024-11-11 14:29:23,2024-11-12 16:15:11,McDonald's,-32.00,0.00,RON,COMPLETED,726.80
CARD_PAYMENT,Current,2024-11-11 14:33:35,2024-11-12 16:15:13,McDonald's,-29.50,0.00,RON,COMPLETED,697.30
CARD_PAYMENT,Current,2024-11-11 19:44:19,2024-11-12 16:16:50,Lidl,-43.46,0.00,RON,COMPLETED,653.84
TOPUP,Current,2024-11-13 08:19:06,2024-11-13 08:19:08,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1653.84
CARD_PAYMENT,Current,2024-11-12 20:06:56,2024-11-13 14:54:18,McDonald's,-52.00,0.00,RON,COMPLETED,1601.84
CARD_PAYMENT,Current,2024-11-12 10:21:37,2024-11-13 17:09:53,Sdc,-119.14,0.00,RON,COMPLETED,1482.70
CARD_PAYMENT,Current,2024-11-14 14:28:46,2024-11-15 13:42:42,Five Guys,-97.24,0.00,RON,COMPLETED,1385.46
CARD_PAYMENT,Current,2024-11-13 14:41:47,2024-11-15 14:24:57,Metrorex,-3.00,0.00,RON,COMPLETED,1382.46
CARD_PAYMENT,Current,2024-11-13 16:11:58,2024-11-15 14:27:32,OFresh Vending Solutions,-15.00,0.00,RON,COMPLETED,1367.46
FEE,Current,2024-11-16 03:11:57,2024-11-16 03:11:57,Premium Repricing 1 plan fee,-35.99,0.00,RON,COMPLETED,1331.47
CARD_PAYMENT,Current,2024-11-15 14:09:19,2024-11-16 12:55:35,Five Guys,-97.25,0.00,RON,COMPLETED,1234.22
CARD_PAYMENT,Current,2024-11-15 17:45:20,2024-11-16 12:55:52,Botiga Barcelona Souvenir,-30.08,0.00,RON,COMPLETED,1204.14
CARD_PAYMENT,Current,2024-11-15 18:55:52,2024-11-16 12:57:56,Khatri,-125.21,0.00,RON,COMPLETED,1078.93
CARD_PAYMENT,Current,2024-11-15 17:24:12,2024-11-16 13:00:33,Gaudí Experiència,-78.70,0.00,RON,COMPLETED,1000.23
CARD_PAYMENT,Current,2024-11-15 19:18:15,2024-11-16 14:24:58,Käthe Wohlfahrt,-44.82,0.00,RON,COMPLETED,955.41
TOPUP,Current,2024-11-16 18:51:02,2024-11-16 18:51:04,Apple Pay Top-Up by *4109,600.00,0.00,RON,COMPLETED,1555.41
TRANSFER,Current,2024-11-16 20:37:14,2024-11-16 20:37:14,To MARIUS DANIEL NITA,-246.00,0.00,RON,COMPLETED,1309.41
TRANSFER,Current,2024-11-17 02:32:27,2024-11-17 02:32:28,To MARIUS DANIEL NITA,-20.00,0.00,RON,COMPLETED,1289.41
CARD_PAYMENT,Current,2024-11-16 13:08:51,2024-11-17 11:53:10,PSM Barcelona,-52.49,0.52,RON,COMPLETED,1236.40
CARD_PAYMENT,Current,2024-11-16 13:08:30,2024-11-17 11:53:13,PSM Barcelona,-104.97,01.05,RON,COMPLETED,1130.38
CARD_PAYMENT,Current,2024-11-16 05:00:18,2024-11-17 11:53:24,TMB,-12.75,0.13,RON,COMPLETED,1117.50
CARD_PAYMENT,Current,2024-11-16 16:01:28,2024-11-17 12:44:55,Arenal,-525.08,5.25,RON,COMPLETED,587.17
CARD_PAYMENT,Current,2024-11-16 18:59:26,2024-11-17 12:51:18,World Duty Free,-179.95,1.80,RON,COMPLETED,405.42
CARD_PAYMENT,Current,2024-11-16 20:00:11,2024-11-17 12:56:51,McDonald's,-62.53,0.63,RON,COMPLETED,342.26
CARD_PAYMENT,Current,2024-11-16 18:44:12,2024-11-17 12:59:15,Tutti Frutti,-33.49,0.33,RON,COMPLETED,308.44
TOPUP,Current,2024-11-18 11:01:13,2024-11-18 11:01:14,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2558.44
TRANSFER,Current,2024-11-18 11:02:00,2024-11-18 11:02:01,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,308.44
TOPUP,Current,2024-11-18 11:09:11,2024-11-18 11:09:12,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1308.44
CARD_PAYMENT,Current,2024-11-16 11:37:24,2024-11-18 13:07:41,Hotel Zenit Barcelona,-55.49,0.55,RON,COMPLETED,1252.40
CARD_PAYMENT,Current,2024-11-17 16:57:15,2024-11-18 15:37:07,Mibian Expert Consulting,-21.00,0.00,RON,COMPLETED,1231.40
CARD_PAYMENT,Current,2024-11-18 05:35:07,2024-11-19 11:00:32,TMB,-12.79,0.00,RON,COMPLETED,1218.61
CARD_PAYMENT,Current,2024-11-18 05:35:08,2024-11-19 11:00:41,TMB,-12.79,0.00,RON,COMPLETED,1205.82
CARD_PAYMENT,Current,2024-11-17 01:21:51,2024-11-19 14:30:18,CFR Călători,-5.50,0.00,RON,COMPLETED,1200.32
CARD_PAYMENT,Current,2024-11-18 21:46:33,2024-11-19 16:32:09,Lidl,-34.99,0.00,RON,COMPLETED,1165.33
CARD_PAYMENT,Current,2024-11-18 21:59:26,2024-11-19 16:36:11,Mega Image,-50.00,0.00,RON,COMPLETED,1115.33
CARD_PAYMENT,Current,2024-11-19 20:33:27,2024-11-20 15:06:52,Mega Image,-31.45,0.00,RON,COMPLETED,1083.88
CARD_PAYMENT,Current,2024-11-20 21:01:24,2024-11-21 15:40:29,Lidl,-172.47,0.00,RON,COMPLETED,911.41
CARD_PAYMENT,Current,2024-11-19 08:52:16,2024-11-21 15:55:00,Metrorex,-3.00,0.00,RON,COMPLETED,908.41
CARD_PAYMENT,Current,2024-11-20 21:12:24,2024-11-21 16:25:09,Mega Image,-25.00,0.00,RON,COMPLETED,883.41
CARD_PAYMENT,Current,2024-11-20 20:22:48,2024-11-21 16:36:25,Farmacia Tei,-191.00,0.00,RON,COMPLETED,692.41
CARD_PAYMENT,Current,2024-11-20 20:02:30,2024-11-21 16:44:19,Bebe Tei,-162.50,0.00,RON,COMPLETED,529.91
TRANSFER,Current,2024-11-22 01:19:00,2024-11-22 01:19:00,To MIRUNA-IOANA PAMPEA,-128.00,0.00,RON,COMPLETED,401.91
CARD_PAYMENT,Current,2024-11-22 21:48:52,2024-11-23 17:08:03,Mega Image,-32.63,0.00,RON,COMPLETED,369.28
CARD_PAYMENT,Current,2024-11-22 19:52:45,2024-11-23 17:22:45,Mega Image,-35.18,0.00,RON,COMPLETED,334.10
CARD_PAYMENT,Current,2024-11-23 15:13:38,2024-11-24 15:52:56,Lidl,-140.73,0.00,RON,COMPLETED,193.37
TOPUP,Current,2024-11-24 17:04:50,2024-11-24 17:04:51,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1193.37
TOPUP,Current,2024-11-25 12:53:06,2024-11-25 12:53:08,Apple Pay Top-Up by *4109,2000.00,0.00,RON,COMPLETED,3193.37
EXCHANGE,Current,2024-11-25 12:53:48,2024-11-25 12:53:48,Exchanged to USD,-1950.00,0.00,RON,COMPLETED,1243.37
EXCHANGE,Current,2024-11-25 12:59:02,2024-11-25 12:59:02,Exchanged to USD,-700.00,0.00,RON,COMPLETED,543.37
CARD_PAYMENT,Current,2024-11-24 00:01:43,2024-11-25 13:16:42,Stripe,-99.47,0.99,RON,COMPLETED,442.91
TOPUP,Current,2024-11-25 14:32:03,2024-11-25 14:32:05,Apple Pay Top-Up by *4109,500.00,0.00,RON,COMPLETED,942.91
EXCHANGE,Current,2024-11-25 15:58:57,2024-11-25 15:58:57,Exchanged to USD,-150.00,0.00,RON,COMPLETED,792.91
CARD_PAYMENT,Current,2024-11-24 17:30:36,2024-11-25 16:06:46,Mega Image,-61.58,0.00,RON,COMPLETED,731.33
TRANSFER,Current,2024-11-29 10:44:17,2024-11-29 10:44:17,To LAURENTIU-IRINEL STAVARACHE,-480.00,0.00,RON,COMPLETED,251.33
TOPUP,Current,2024-11-29 10:55:32,2024-11-29 10:55:33,Apple Pay Top-Up by *4109,1500.00,0.00,RON,COMPLETED,1751.33
TRANSFER,Current,2024-11-29 19:27:23,2024-11-29 19:27:23,To MIRUNA-IOANA PAMPEA,-180.00,0.00,RON,COMPLETED,1571.33
CARD_PAYMENT,Current,2024-11-29 10:49:30,2024-11-30 17:04:05,Digi,-40.00,0.00,RON,COMPLETED,1531.33
CARD_PAYMENT,Current,2024-12-01 14:46:14,2024-12-02 16:49:39,MOL,-200.00,0.00,RON,COMPLETED,1331.33
CARD_PAYMENT,Current,2024-12-02 18:01:43,2024-12-03 16:58:49,Farmaciile DONA,-24.42,0.00,RON,COMPLETED,1306.91
CARD_PAYMENT,Current,2024-12-02 14:57:52,2024-12-03 16:59:44,Ateșpan,-8.00,0.00,RON,COMPLETED,1298.91
CARD_PAYMENT,Current,2024-11-29 14:59:24,2024-12-03 17:21:23,Il Maestro,-25.00,0.00,RON,COMPLETED,1273.91
CARD_PAYMENT,Current,2024-12-02 17:47:19,2024-12-03 17:32:00,Octavian Sârbu Concept,-60.00,0.00,RON,COMPLETED,1213.91
TRANSFER,Current,2024-12-04 13:34:20,2024-12-04 13:34:20,From ANDRA-MARIA RUSEA,80.00,0.00,RON,COMPLETED,1293.91
CARD_PAYMENT,Current,2024-12-03 20:00:54,2024-12-04 15:00:28,Mega Image,-25.58,0.00,RON,COMPLETED,1268.33
CARD_PAYMENT,Current,2024-12-02 18:12:01,2024-12-04 18:08:31,STB Bucuresti,-3.00,0.00,RON,COMPLETED,1265.33
CARD_PAYMENT,Current,2024-12-02 14:54:10,2024-12-04 18:09:30,KFC,-64.10,0.00,RON,COMPLETED,1201.23
CARD_PAYMENT,Current,2024-12-04 18:55:01,2024-12-05 15:30:59,China Shop,-27.00,0.00,RON,COMPLETED,1174.23
CARD_PAYMENT,Current,2024-12-04 18:55:22,2024-12-05 15:31:03,China Shop,-2.00,0.00,RON,COMPLETED,1172.23
CARD_PAYMENT,Current,2024-12-04 18:45:55,2024-12-05 15:47:02,Lidl,-8.19,0.00,RON,COMPLETED,1164.04
CARD_PAYMENT,Current,2024-12-03 10:00:45,2024-12-05 16:01:32,Metrorex,-3.00,0.00,RON,COMPLETED,1161.04
CARD_PAYMENT,Current,2024-12-03 11:21:47,2024-12-05 16:01:42,Metrorex,-3.00,0.00,RON,COMPLETED,1158.04
CARD_PAYMENT,Current,2024-12-04 18:41:32,2024-12-05 16:30:55,Mega Image,-50.00,0.00,RON,COMPLETED,1108.04
CARD_PAYMENT,Current,2024-12-04 13:58:42,2024-12-05 16:31:31,Sb Spaces Expo,-8.50,0.00,RON,COMPLETED,1099.54
CARD_PAYMENT,Current,2024-12-04 09:39:32,2024-12-05 16:31:36,Sb Spaces Expo,-5.40,0.00,RON,COMPLETED,1094.14
CARD_PAYMENT,Current,2024-12-04 09:06:47,2024-12-06 16:40:36,Metrorex,-3.00,0.00,RON,COMPLETED,1091.14
CARD_PAYMENT,Current,2024-12-04 18:18:04,2024-12-06 16:41:30,Metrorex,-3.00,0.00,RON,COMPLETED,1088.14
CARD_PAYMENT,Current,2024-12-05 10:34:20,2024-12-06 18:53:52,Steam,-139.12,0.00,RON,COMPLETED,949.02
EXCHANGE,Current,2024-12-06 20:14:48,2024-12-06 20:14:48,Exchanged to RON,375.19,0.00,RON,COMPLETED,1324.21
CARD_PAYMENT,Current,2024-12-06 19:59:32,2024-12-07 15:15:25,Mega Image,-30.27,0.00,RON,COMPLETED,1293.94
CARD_PAYMENT,Current,2024-12-05 18:32:43,2024-12-07 15:39:49,Metrorex,-3.00,0.00,RON,COMPLETED,1290.94
CARD_PAYMENT,Current,2024-12-06 14:43:59,2024-12-07 17:05:50,Bolt Food,-93.01,0.00,RON,COMPLETED,1197.93
TRANSFER,Current,2024-12-08 01:09:41,2024-12-08 01:09:41,From VANESSA-RAMONA MARIN,87.00,0.00,RON,COMPLETED,1284.93
CARD_PAYMENT,Current,2024-12-07 16:18:19,2024-12-08 16:05:42,Lidl,-361.69,0.00,RON,COMPLETED,923.24
CARD_PAYMENT,Current,2024-12-07 15:10:23,2024-12-08 16:07:02,Ateșpan,-8.00,0.00,RON,COMPLETED,915.24
CARD_PAYMENT,Current,2024-12-07 15:09:18,2024-12-08 16:07:04,Traditional Sib,-23.00,0.00,RON,COMPLETED,892.24
CARD_PAYMENT,Current,2024-12-07 15:34:07,2024-12-08 16:48:10,Mega Image,-192.65,0.00,RON,COMPLETED,699.59
EXCHANGE,Current,2024-12-09 10:26:10,2024-12-09 10:26:10,Exchanged to RON,703.59,0.00,RON,COMPLETED,1403.18
CARD_PAYMENT,Current,2024-12-07 15:04:41,2024-12-09 15:32:18,Cristim Crangasi,-9.45,0.00,RON,COMPLETED,1393.73
CARD_PAYMENT,Current,2024-12-07 15:07:52,2024-12-09 15:32:18,Altamira Srl 2,-11.36,0.00,RON,COMPLETED,1382.37
TRANSFER,Current,2024-12-09 23:11:31,2024-12-09 23:11:31,To MIRUNA-IOANA PAMPEA,-50.00,0.00,RON,COMPLETED,1332.37
CARD_PAYMENT,Current,2024-12-07 15:01:33,2024-12-10 16:19:43,Farmacia Ana Maria,-112.30,0.00,RON,COMPLETED,1220.07
CARD_PAYMENT,Current,2024-12-09 22:13:56,2024-12-10 18:19:39,OpenAI,-112.50,0.00,RON,COMPLETED,1107.57
CARD_PAYMENT,Current,2024-12-10 17:00:12,2024-12-11 15:54:30,PENNY,-65.09,0.00,RON,COMPLETED,1042.48
CARD_PAYMENT,Current,2024-12-08 23:17:53,2024-12-11 16:48:28,Sinsay,-152.75,0.00,RON,COMPLETED,889.73
REV_PAYMENT,Current,2024-12-11 23:07:37,2024-12-11 23:17:11,www.revolut.com/*London,-170.00,0.00,RON,COMPLETED,719.73
CARD_PAYMENT,Current,2024-12-12 20:26:41,2024-12-13 15:46:05,Mega Image,-50.00,0.00,RON,COMPLETED,669.73
CARD_PAYMENT,Current,2024-12-12 13:47:29,2024-12-13 19:33:50,Trade Traditional Food,-52.50,0.00,RON,COMPLETED,617.23
CARD_PAYMENT,Current,2024-12-12 17:50:01,2024-12-14 16:45:45,Metrorex,-3.00,0.00,RON,COMPLETED,614.23
CARD_PAYMENT,Current,2024-12-12 11:14:50,2024-12-14 16:46:29,Metrorex,-3.00,0.00,RON,COMPLETED,611.23
TOPUP,Current,2024-12-15 15:35:11,2024-12-15 15:35:12,Apple Pay Top-Up by *4109,600.00,0.00,RON,COMPLETED,1211.23
CARD_PAYMENT,Current,2024-12-14 20:09:56,2024-12-15 17:41:47,Dedeman,-105.88,0.00,RON,COMPLETED,1105.35
CARD_PAYMENT,Current,2024-12-14 19:45:53,2024-12-15 17:41:49,Dedeman,-209.80,0.00,RON,COMPLETED,895.55
CARD_PAYMENT,Current,2024-12-14 14:16:43,2024-12-15 18:24:24,Mega Image,-137.75,0.00,RON,COMPLETED,757.80
TOPUP,Current,2024-12-15 18:39:13,2024-12-15 18:39:14,Apple Pay Top-Up by *4109,1000.00,0.00,RON,COMPLETED,1757.80
FEE,Current,2024-12-16 03:44:26,2024-12-16 03:44:26,Premium Repricing 1 plan fee,-35.99,0.00,RON,COMPLETED,1721.81
CARD_PAYMENT,Current,2024-12-15 19:08:08,2024-12-16 16:29:37,Kaufland,-166.34,0.00,RON,COMPLETED,1555.47
CARD_PAYMENT,Current,2024-12-15 18:40:54,2024-12-16 16:44:16,Jumbo,-345.64,0.00,RON,COMPLETED,1209.83
